len,uniqs
12,12
34,29
12,12
4,4
2,2
41,38
10,10
9,9
26,25
26,26
11,11
40,31
15,10
23,23
14,14
2,2
20,20
7,7
4,4
21,20
55,53
17,17
6,6
72,59
8,8
23,23
11,11
17,13
2,2
5,5
7,7
8,8
2,2
4,4
2,2
14,13
4,4
6,6
6,6
144,72
46,34
2,2
286,187
5,5
46,36
375,188
14,14
44,29
8,8
29,29
83,52
21,16
5,5
6,6
27,27
47,44
61,38
5,5
48,32
31,29
13,13
11,11
9,9
66,42
3,3
2,2
20,16
6,6
46,32
54,54
37,31
2,2
5,5
12,12
7,7
5,5
21,21
26,26
109,69
6,6
11,11
7,7
19,19
9,9
34,28
22,21
27,22
9,9
2,2
12,12
29,25
12,12
6,6
11,11
25,25
19,15
12,12
93,69
13,13
72,37
111,78
18,18
13,12
8,8
101,71
6,6
7,7
5,5
81,59
9,9
10,10
6,6
51,41
8,8
16,16
19,19
6,6
7,7
16,15
10,8
9,9
79,69
26,26
14,14
1,1
20,14
36,25
13,13
41,36
24,24
9,9
15,13
73,48
5,5
16,16
150,96
9,9
23,23
34,29
8,8
147,85
16,16
1,1
17,12
5,5
25,24
3,3
8,8
18,16
5,4
8,8
27,26
26,25
9,9
6,6
13,12
96,69
5,5
5,5
79,52
6,6
14,14
5,5
25,24
97,86
14,11
4,4
9,9
5,5
1,1
21,21
8,8
36,29
266,126
106,77
30,26
8,8
8,8
193,112
5,5
6,6
2,2
3,3
7,7
2,2
20,20
14,14
24,20
28,22
21,21
8,8
15,15
20,14
6,6
15,15
10,10
19,16
12,8
19,13
42,33
43,38
7,7
3,3
102,42
3,3
4,4
19,16
5,5
14,14
4,4
36,36
62,59
19,19
31,25
28,20
30,21
84,46
41,36
6,6
3,3
12,12
16,16
7,7
7,7
63,47
17,13
27,24
16,14
37,34
22,22
8,8
24,24
42,26
49,41
4,4
14,14
25,25
4,4
81,46
1,1
22,19
14,14
32,28
18,18
5,5
20,18
18,18
19,19
21,21
20,12
45,37
15,15
6,6
61,40
558,239
46,38
13,13
41,38
13,13
25,22
5,5
20,20
182,58
1,1
24,24
3,3
3,3
31,25
39,19
9,9
6,6
12,12
9,9
29,19
62,48
15,15
8,8
14,14
44,34
187,105
12,10
11,11
17,17
9,9
4,4
1,1
73,60
5,5
100,56
3,3
5,5
48,39
12,12
142,63
65,52
10,10
17,17
22,18
21,18
205,101
22,22
38,34
25,25
12,12
21,21
16,16
17,17
62,53
13,9
23,19
16,16
13,13
197,107
17,17
27,27
20,20
57,50
34,32
10,10
3,3
6,6
25,19
40,32
38,33
5,5
17,17
10,10
8,7
32,26
25,25
19,19
8,8
46,35
6,6
15,15
21,17
29,25
29,21
16,14
4,4
11,11
47,39
21,16
14,14
70,44
13,11
69,43
7,7
38,32
6,6
12,12
35,31
23,20
38,38
32,31
16,16
11,11
3,3
2,2
23,20
11,11
27,27
19,19
3,3
7,7
90,57
13,13
1,1
14,12
29,29
