len,uniqs
9514,566
18,15
936,253
132,97
1229,207
320,162
1211,260
2547,465
949,226
2267,182
1143,240
636,177
6125,369
1013,293
182,83
77,40
684,218
9352,549
538,75
11042,568
6023,232
737,182
1047,321
790,222
9434,419
15282,670
81,34
6680,333
2563,404
4893,546
12896,611
863,238
1889,238
475,103
16515,530
138,50
71,66
15992,377
8112,555
3859,331
14327,1105
6102,486
9943,509
16207,921
5099,521
271,146
9091,650
6190,459
158,105
9607,498
5504,319
1738,231
5868,371
4092,305
169,83
6819,322
248,101
42880,1503
393,135
7181,365
22395,786
6612,421
2807,408
1845,337
300,148
868,177
2696,193
73,44
40,40
4328,276
88,68
157,124
3016,334
2077,314
5411,316
3020,414
187,43
970,212
9972,720
1168,130
26501,1000
9683,491
4036,306
16,12
2549,317
1098,229
3596,299
9140,534
1934,269
1322,236
6001,318
795,155
4941,418
557,181
17869,797
5855,525
13097,782
34077,1283
3855,366
63798,1710
2692,244
3663,281
13001,812
7287,531
81,71
17541,622
619,208
2358,198
878,227
1869,270
291,94
7708,584
71,53
2339,426
2053,283
2615,449
6207,397
2281,212
9999,720
1958,323
114,86
143,61
7880,470
6070,429
2576,330
61,47
264,112
9144,339
646,195
5573,572
79,59
1716,174
78,50
19387,1142
8994,1180
12791,562
7140,435
732,252
24493,1041
230,128
13733,651
33325,1143
196,88
1171,294
295,127
840,213
1184,234
224,133
10,9
2025,389
517,199
3834,309
74,48
6252,469
5287,228
12901,566
10836,634
5650,296
1654,199
13938,647
2527,404
563,154
554,177
18276,820
882,214
11267,521
28,25
2128,122
35806,1090
2740,307
3336,344
11995,670
17844,1503
2564,360
882,150
1526,309
7291,408
5326,464
3421,472
3873,516
1500,133
9404,695
317,142
69,52
4068,411
8477,471
3672,459
7466,426
31856,819
2630,342
165,115
7824,707
21989,662
9633,454
2907,298
109,100
1143,224
9963,554
6064,599
644,204
143,98
127,90
16859,407
2761,298
60993,1620
277,140
25531,1158
530,105
1354,269
4634,249
11491,702
2382,368
12810,458
176,122
10776,622
274,80
147,46
386,157
25364,1145
5263,569
1989,297
8122,686
171,120
10,8
15160,923
9741,639
2097,354
16903,940
11909,714
942,208
278,176
390,112
509,234
13772,685
11763,451
1164,354
3394,258
94,72
2950,481
