len,uniqs
15,15
6,4
20,20
36,22
17,17
27,27
23,23
6,5
5,4
4,4
24,24
39,32
3,3
1,1
8,8
97,73
46,45
66,48
153,106
15,15
54,44
40,31
162,76
11,11
92,72
15,13
4,4
162,86
10,10
23,23
11,11
254,105
30,26
10,9
30,30
12,12
307,140
34,33
15,15
28,19
20,20
114,76
7,7
64,54
43,30
8,7
7,7
15,12
159,105
14,14
4,4
44,44
27,25
16,16
7,7
5,5
6,6
5,5
14,14
13,13
50,44
3,3
2,2
16,15
31,31
21,18
9,9
15,11
162,100
9,9
16,14
11,11
23,17
4,4
406,202
28,28
9,9
3,3
19,19
16,16
10,10
14,14
17,17
213,94
2,2
3,3
20,19
22,19
18,15
10,10
3,3
19,19
10,10
8,8
18,18
15,15
7,7
14,14
11,11
15,15
13,10
36,30
5,5
15,15
16,16
19,19
899,214
30,29
40,32
12,12
29,23
17,17
21,21
499,229
6,6
3,3
21,20
35,33
7,7
52,37
15,15
5,4
61,35
13,13
16,16
6,6
8,8
5,5
15,15
93,76
182,100
3,3
26,26
12,12
7,7
6,6
34,30
5,5
7,7
9,9
7,7
65,48
17,17
16,16
19,19
45,28
23,23
11,11
3,3
6,6
5,5
3,3
96,64
5,5
54,45
11,11
4,4
9,9
10,10
866,314
2,2
5,5
57,44
8,8
154,94
21,17
61,46
27,24
4,4
59,25
53,41
4,4
10,10
18,15
10,10
5,5
11,10
13,13
7,7
9,9
30,30
23,23
7,7
22,21
9,9
31,31
7,7
25,25
257,91
12,11
42,37
12,12
6,6
8,8
11,7
4,4
39,27
45,40
123,67
19,19
13,13
20,18
8,8
5,5
6,6
69,51
14,14
7,7
82,41
81,40
31,29
37,28
2,2
8,8
1,1
24,22
4,4
21,21
8,8
7,7
48,48
21,21
37,30
18,16
34,33
10,10
7,7
14,14
164,100
32,26
28,28
3,3
17,17
9,9
31,22
86,61
1,1
40,33
15,15
61,47
50,31
5,5
5,5
2,2
8,8
37,24
12,12
7,7
24,24
29,19
79,51
2,2
60,40
15,15
16,16
31,29
17,17
90,78
25,21
10,9
7,7
14,14
22,22
10,10
31,22
10,10
35,26
53,44
5,5
19,19
10,10
36,29
8,8
103,63
12,11
18,13
273,153
4,4
75,63
54,32
28,24
23,23
12,12
6,6
14,8
5,5
738,189
66,35
13,13
1,1
30,23
